Name,Experiment,Trial,Sequence,Recall
else,SR_finger_tapping,1,t k d f s h e b c r m l o v u,t d k o m p v c
else,SR_finger_tapping,2,u c s y b t q a f r i v j g k,u r s y j b f
else,SR_finger_tapping,3,x m b l j s g t h d p e q i a,x m b l j h i a
else,SR_finger_tapping,4,p d q h t x y z e f n k i o r,p d k x y z s f b
else,SR_finger_tapping,1,n q a p x b z e i s y v c j k,n q a x b j z
else,SR_finger_tapping,1,t f v s d u o e i j g m z c h,t d m s f j v o
else,SR_finger_tapping,2,t o h k a d p j i l f b g s e,t d j o s e
else,SR_finger_tapping,3,s h g f r a u k o z y m l p e,s d k r a o f
else,SR_finger_tapping,4,z s y g x j r k n l e q f m v,z x y g j r
else,SR_finger_tapping,5,r i l o v d f m b y a h j g t,r l i o v d j
else,SR_finger_tapping,6,i m u c r q f h l b j t a p s,i m r c q f h
else,SR_finger_tapping,7,b t l o x v q j u z k d f i s,b t l o x v
else,SR_finger_tapping,8,q t b c n h m s k f z d u r p,q t b c n h s
else,SR_finger_tapping,9,f i v x k y l r j q e s b h g,f i v k x y l r
else,SR_finger_tapping,10,i j z c x g m y n u v t b l k,i z x v j r
else,SR_finger_tapping,1,g m t e r b p j a v l z x n c,g m r t b p j
else,SR_finger_tapping,2,p o i k z j q x n e h l g d c,p o j q z
else,SR_finger_tapping,3,s a x d e z y g i m u k l f j,s x a d j
else,SR_finger_tapping,4,t o m r x h y f q g j i u p n,t o m r x h
else,SR_finger_tapping,5,m n x l d v j e u c s h p q o,m x d j v l
else,SR_ladida,1,t i b f o l h g m k d a r v z,l k m j h
else,SR_ladida,2,h b g k a o n y d e v t p j m,h b g j
else,SR_ladida,3,s z j o g f b q l n e t d c v,s z j o h
else,SR_ladida,4,h z t c r n k p g d j o l u m,h z j o
else,SR_ladida,5,g n v z d l t q s b c x u i f,z g n
else,SR_ladida,6,f l s x p o m a q u e y j h c,f l s
else,SR_ladida,7,d r a e q i m j u n z f h b v,d r e k
else,SR_ladida,8,f a t n e r v z i k m x u g j,f a t
else,SR_ladida,9,h x y d k s u m j r g q o l e,h x y
else,SR_ladida,10,g y f m t a q j d u c h n v e,g y f
else,SR_ladida,1,v k i e p d a o u r m j h b l,v k i e
else,SR_ladida,2,m t c g l x s i f h v q y j n,m t c g
else,SR_ladida,3,a c e z v t f g k o h r j n i,a c e z v
else,SR_ladida,4,h x b p q o s n e d r y l i u,h x b j o
else,SR_ladida,5,c i j m s g o b u q r p z n x,b e j z
else,SR_ladida,6,p g k q l x z y r c j d n a b,p g h j
else,SR_ladida,7,z n k b f m y s j p e v q h u,z n b k
else,SR_ladida,8,v m g p y u x s t q r z d e c,v m k b
else,SR_ladida,9,d a y x q c t o z k m v f g i,d m x q y
else,SR_ladida,10,j s k n f t d h m a i e p b c,v m j x k
else,SR,1,p m j l s g t e u b k c v y a,p m l j s g
else,SR,2,q o l z i k b y m a n t g v f,q o l z i
else,SR,3,t j y l k z f b r p e o d x q,t j l y k
else,SR,4,r k z p u e h s y q m j o n i,r z k p u
else,SR,5,b p v a k l z u m n f o d s x,b p v k a l
else,SR,6,n j z p m y s e b u l h q k i,n j k l m y
else,SR,7,y s i g f v j k o t a b p c z,y i z g f v
else,SR,8,y t b c k q m p o e f s u x a,y t b c k
else,SR,9,o a r i s f e d k j x n m y v,o r a i s
else,SR,10,m a r u z f c j o t l n h y q,m r a u z
else,SR,1,h s d v b j i r z k e u o n l,h s d v b j
else,SR,2,v t i c k u g j d h l r s e x,v t i c k
else,SR,3,x j c u k y s p d m r b f e l,x j c u k i
else,SR,4,x e y z p s h o i a d f c b g,x e y z s
else,SR,5,s t x l f g n b k o i h q u j,s t x l f g n
else,SR,6,c x i q u d h l n g y t o j e,x z e i q u
else,SR,7,x y k c h b i v l m z a g e f,x i k c o b
else,SR,8,a n j g k t o q b z c d h s p,a n j g k b
else,SR,9,l q b n d f j t o u k s x i v,l b q n k
else,SR,10,x h v j s q d a c k i r z f o,x h k v j n s
else,SR_chunking,1,had let bed god but win far see any old can per for lot big,had let bed but god
else,SR_chunking,2,air far how men per led top war due own win her pay but all,air far men per her
else,SR_chunking,3,how led not did eat way dog say our boy let air has bed and,how led did not eat
else,SR_chunking,4,buy had ago his may pay die let boy its get war set two guy,how let buy his ago
else,SR_chunking,5,his job die mom she was two led day new our boy run out pay,his job die mom she
else,SR_chunking,6,sex who six act off eat you law let saw boy has far guy yet,sex his six
else,SR_chunking,7,car set for bit now try had way who cup won guy non add may,car set for bit now
else,SR_chunking,8,far yes his met key run off its may buy god lot mom and use,far yes his met key
else,SR_chunking,9,the did law her get off add few any try for tax sex who led,the did law her
else,SR_chunking,10,bad hey age him tax all oil the act met end any god two six,bad hey age him tax
else,SR_chunking,1,non him see now who act had you key fun pay law per yes did,non him see now act who
else,SR_chunking,2,use age his guy off led was its hit see win few new out big,use his age off guy led
else,SR_chunking,3,non get top ago eat can two bit age men low off use was its,non get top ago eat can off
else,SR_chunking,4,set per any hot buy die men met for job the yes end sex ask,set hot any buy die men
else,SR_chunking,5,few law end you own our his run get who win any two age see,few law had any end him
else,SR_chunking,6,six was far now war guy cut get hot dog run hit let due die,six was far now war guy
else,SR_chunking,7,off the ask got pay god his can run way bad how get why had,off the ask got pay god
else,SR_chunking,8,bed war one own boy try act ask fun bit his man yet may cut,bed war one own boy try
else,SR_chunking,9,due fun men tax off top all too its had has lot day who per,due fun men tax off top
else,SR_chunking,10,saw oil any few add him ago its was won you per too the not,saw oil any few add him
else,FR_working_mem_task,1,n x z a r y k t s j v c e d m,n x z b a j e d f
else,FR_working_mem_task,2,o v g h i z n x s p m b t q d,o v g j h s x
else,FR_working_mem_task,3,j d r k s y l a g v u x q c n,o v g j x u l
else,FR_working_mem_task,4,k d g y f v u r p b e j h c a,o d v k j a
else,FR_working_mem_task,5,m l y s e d b k h c n i p q z,o d b q
else,FR_working_mem_task,6,m s j x f y t u k n p q b i l,n m x o u p k j
else,FR_working_mem_task,7,u d h y e k f c i l g t n a o,o u d k l i j
else,FR_working_mem_task,8,r j t s q k l i e p n m z f c,m u o j l i
else,FR_working_mem_task,9,f l d p i c v y s z x k u r e,f l d i p x
else,FR_working_mem_task,10,p s n b t k j l h o g f m q i,b s n p k g
else,FR_working_mem_task,1,s v u r d j m i t e a q p l k,s m l q a g f
else,FR_working_mem_task,2,l k h y a o n p x u t d f r e,l k m h a o u
else,FR_working_mem_task,3,z y r x c m o a v j e t p q i,z o y r
else,FR_working_mem_task,4,p k d q b g m o z l i j e a s,p d q o r a e i j
else,FR_working_mem_task,5,i l m q v p a j r t n s f k y,v l m q p r
else,FR_working_mem_task,6,u x t s z b r g f y h k v m e,l m v a i f
else,FR_working_mem_task,7,q h l v j u i a p d g s o r y,y q o l v
else,FR_working_mem_task,8,x i l q z t r h f p m j y o u,m l o u e
else,FR_working_mem_task,9,i s t l d h n x u z j k p m y,l m k j y
else,FR_working_mem_task,10,l o f y q p c s r d z x g m v,l o u f y c
else,FR_pause,1,c j e s p x i z h n q l f a k,c n i k j z g f l
else,FR_pause,2,i t c r u x q z f n d e h s o,i t c n r o f s x
else,FR_pause,3,s r h q z e m n p d f x c t k,s m r q c x
else,FR_pause,4,q f k l v i u g s z o h m e a,u f k m n e s
else,FR_pause,5,h e b n f x t i y z c g s a o,h e b f n s o
else,FR_pause,6,j c f s q y g o l a x r e z b,h s f x j o n
else,FR_pause,7,c q t h g p y i m k v r f u z,c t k u f j b s v y
else,FR_pause,8,e s o f k r c x u y i l m b g,e o s f m b k m g
else,FR_pause,9,e j r q u t g b y m p d c h k,s h k e m f i
else,FR_pause,10,q k b x t o g a d c e h m z i,i o u f t k j b d
else,FR_pause,1,k f h b n o m t e x v a s g q,k b h f n q x v
else,FR_pause,2,n x s f p r q c j g i a u o t,n q f s x o u i k b m
else,FR_pause,3,v z y s h t m x d b k e q c n,v x y z o u i b n
else,FR_pause,4,n h f i b a m s t j p v z k l,n h i b f p j m n k q
else,FR_pause,5,p n t l d c v m k o h f x u a,u a p n t d l f j x v
else,FR_pause,6,b h g z x n m f k d y i c s o,b h g z x n j o c
else,FR_pause,7,a q t r h n g d i e x s o p l,a q t h n r g o
else,FR_pause,8,v g c h d p t s k o e b j u q,v k c j d b z o u f
else,FR_pause,9,h o g j i c s d a z u m k b p,o u i c j d k b j p
else,FR_pause,10,l a p t h m n z s o j v q i c,l a p k c j n m o
